name,subcategory,description_full,source_url
Bangkok Art and Culture Centre (BACC),Gallery & Art Space,"Bangkok Art and Culture Centre is Bangkok’s flagship contemporary arts hub with multi‑level galleries, a spiraling public atrium, and a packed calendar of exhibitions, film screenings, talks, and community programs. The venue bridges institutional and grassroots culture by housing professional galleries alongside the People’s Gallery for emerging artists, independent bookshops, and design stores. Programming spans Thai and international artists across visual art, performance, film, and design, with major citywide events such as the Bangkok Art Biennale frequently using BACC as a node. Wayfinding and bilingual interpretation make it accessible to casual visitors and specialists alike, while the location beside BTS National Stadium turns it into an easy cultural stop. Archives of past shows and learning resources are kept online with regularly updated ‘What’s On’ listings for current exhibitions. As a civic platform, BACC also supports festivals, conferences, and public art initiatives that connect Bangkok’s creative scenes.",https://www.bacc.or.th/en
River City Bangkok,Gallery & Art Space,"River City Bangkok is a riverfront arts complex that combines curated exhibitions, a photography gallery, design shops, and dining with regular art auctions and immersive digital showcases. Its RCB Photographers’ Gallery foregrounds Thai and regional image‑makers through documentary and fine‑art shows, while pop‑up projects spill into public areas. Talks, fairs, film nights, and collector‑focused events make it a year‑round destination, especially for visitors exploring Charoenkrung’s Creative District. The venue’s modern waterfront setting is accessible by boat and BTS Gold Line connections, and exhibitions rotate monthly to keep the program fresh. Detailed schedules, artist profiles, and visitor information are published on the official site. River City also serves as a base for international galleries with Bangkok outposts and cross‑institution partnerships.",https://rivercitybangkok.com/
The Warehouse 30,Gallery & Art Space,"The Warehouse 30 repurposes a cluster of WWII‑era warehouses into a creative compound for galleries, design shops, cafés, and markets. Rotating exhibitions and pop‑ups highlight contemporary art, craft, photography, and fashion, often responding to the site’s raw industrial architecture. The complex doubles as a community venue with outdoor screenings, talks, and maker fairs that draw weekend crowds. Its location in the historic Charoenkrung area links easily with nearby riverside galleries and the Grand Postal Building. Program updates, hours, and venue maps are maintained on the official website. Visitors can plan half‑day itineraries by pairing shows here with River City and ATT 19.",https://www.thewarehouse30.com/
BANGKOK CITYCITY GALLERY,Gallery & Art Space,"BANGKOK CITYCITY GALLERY is a leading independent space known for ambitious exhibitions and experimental formats that span installations, performance, and publishing. Since 2015 it has staged museum‑scale projects by Thai and regional artists, with a curatorial focus on research, social practice, and long‑form storytelling. Public programs—talks, screenings, and publications—extend the impact of each show beyond the gallery walls. The venue is located off Naradhiwas–Sathorn with flexible project rooms that transform for each presentation. Artist archives and visiting information are detailed online, making it easy to dive into past cycles of programming. It regularly collaborates with festivals and institutions across Southeast Asia.",https://www.bangkokcitycity.com/
100 Tonson Foundation,Gallery & Art Space,"100 Tonson Foundation evolves from the pioneering 100 Tonson Gallery into a non‑profit dedicated to exhibitions, research, and publications on Thai and regional contemporary art. The foundation supports commissions, archival projects, and collaborations with curators and institutions, often staging site‑specific installations. Its program mixes solo exhibitions with thematic group shows that invite critical dialogue. Publications and talks aim to broaden access to discourse around Southeast Asian art. Practical visitor notes, project archives, and news updates are provided on its official website. The organization also participates in cross‑city initiatives and exchange programs.",https://100tonsonfoundation.org/
NOVA CONTEMPORARY,Gallery & Art Space,"NOVA CONTEMPORARY presents concept‑driven exhibitions by Thai and international artists whose practices engage with history, material culture, and contemporary life. The gallery’s curatorial approach favors rigorous discourse across mediums—from painting and sculpture to moving image and installation. It participates in regional art fairs and supports off‑site projects that expand the context of its shows. Located centrally, NOVA provides detailed exhibition archives and artist pages for collectors and researchers. Visits are supported by bilingual communications and consistent opening hours. Announcements and show previews are kept current on its web and social channels.",https://novacontemporary.com/
SAC Gallery (Subhashok Arts Centre),Gallery & Art Space,"SAC Gallery is a multi‑storey contemporary art venue on Sukhumvit 39 with spacious white‑cube galleries and a landscaped sculpture court. It champions Thai artists at different career stages while hosting collaborations with international curators and institutions. Exhibitions range from immersive installations to painting and multimedia, often accompanied by education programs and catalogues. The site includes a café and design shop that round out the visitor experience. Current shows, visiting hours, and archives are maintained on the official site. The gallery is easily reached from Phrom Phong with ample neighborhood amenities.",https://www.sac.gallery/
Number 1 Gallery,Gallery & Art Space,"Number 1 Gallery is a long‑running commercial gallery known for large exhibitions spanning contemporary painting, sculpture, and mixed media. With venues in Silom and at River City Bangkok, it presents a steady schedule of solo and group shows by Thai and regional artists. Collector‑oriented openings, catalogues, and curated selections make it a reliable stop for discovering new work. The gallery emphasizes Thai contemporary idioms while engaging in cross‑cultural dialogues. Comprehensive contact details, archives, and current exhibitions are available online. Its calendar aligns with Bangkok’s peak art seasons to maximize visibility.",https://www.number1gallery.com/
JWD Art Space,Gallery & Art Space,"JWD Art Space combines museum‑grade exhibition halls with professional art storage and logistics in one purpose‑built facility. It hosts thoughtfully curated shows, education programs, and institutional collaborations that benefit from its conservation‑ready infrastructure. The venue is designed to handle large‑scale installations and sensitive works to international standards. Located near Rama III, it anchors a growing network of art industry services in Bangkok. Program announcements, ticketing, and visitor guidance are maintained on the official site. Its dual role in exhibition and preservation sets it apart in the local ecosystem.",https://www.jwdartspace.com/
ATT 19,Gallery & Art Space,"ATT 19 inhabits a restored Sino‑Siamese compound off Charoenkrung and blends contemporary art with design, craft, and fashion. Exhibitions frequently reference the site’s layered architecture and neighborhood heritage. The complex includes curated retail corners and a café, making it a slow‑explore destination. Rotations mix Thai and regional artists with international guests and collaborative projects. Opening hours and show information are published on its official channels. Its proximity to the Creative District allows easy pairing with nearby galleries.",https://www.att19.com/
