name,description_full,source_url
SPACEPLUS Bangkok,"A vast, high-production nightclub in the RCA entertainment zone known for towering LED screens, big-room EDM and festival-style special effects. Programming blends touring headliners with Bangkok’s resident DJs on weekends, while mid‑week parties lean commercial dance and hip‑hop. Its scale and staging put it among the city’s most spectacle-driven rooms in 2025, drawing both locals and visitors late into the night.",https://spaceplus.co/bangkok
ONYX,"RCA’s flagship superclub built for EDM drops and arena-level light and sound, anchored by a main hall and VIP decks. International guest DJs appear regularly alongside Thai residents, keeping the pace high with pyrotechnics, CO₂ and confetti peaks. The crowd is young and high‑energy, and the door enforces smart‑casual dress on busy nights.",https://www.onyxbangkok.com/
Route 66,"A Bangkok institution on RCA with multiple rooms under one roof—Thai live bands in one hall, hip‑hop and R&B in another, and EDM and pop anthems elsewhere. Its flexible layout lets groups bounce between genres without changing venues, and weekends fill fast with students and young professionals. Expect a social, open vibe rather than an ultra‑exclusive club feel.",https://www.route66club.com/
VOID Club Bangkok,"New‑generation dance club known for high‑impact LED design and a big‑room EDM sound, attracting a fashion‑forward Bangkok crowd. Social feeds show frequent theme nights and guest DJ takeovers through 2025, with table-led floor plans and strict entry control at peak hours. It’s part of the city’s current wave of polished, production‑heavy venues.",https://www.instagram.com/voidclub.bkk/
AMNESIA Bangkok (RCA),"RCA mainstay for commercial dance, hip‑hop and pop remixes, with dancers, MCs and a tightly packed main floor on weekends. Event calendars highlight guest performers and brand parties, while bottle‑service tables ring the dance area for groups. Entry policies and pricing vary by night—watch the club’s socials for line‑up and deal announcements.",https://www.instagram.com/teamamnesia.bkk/
MIRINN Club,"Large show‑driven RCA venue combining live performers, dancers and DJ sets in a theatrical format. The room’s vast stage and screens make it a go‑to for production‑heavy party concepts, and their feeds announce frequent concert nights. Expect crowd‑pleasing music, table service and late hours when big acts are booked.",https://www.facebook.com/mirinnrca/
LAX RCA,"Casual clubbing space inside RCA that mixes mainstream dance, hip‑hop and party anthems, popular with large groups. The floor plan combines standing room and tables; promotions are common mid‑week while weekends go full party mode. Reservations help on busy nights given its central RCA location.",https://www.hungryhub.com/lax-rca
LIVE RCA,"A long‑running concert hall and late‑night clubbing address on RCA; depending on the night it flips between live shows and DJ‑led dance events. Touring artists, Thai bands and club promoters all pass through, so check listings for genre. The industrial stage and large standing floor suit high‑energy crowds.",https://www.tripadvisor.com/Attraction_Review-g293916-d4420441-Reviews-Live_RCA-Bangkok.html
Levels Club & Lounge,"Multi‑room Sukhumvit Soi 11 club with a mainstream EDM and open‑format soundtrack, LED visuals and a rooftop‑terrace vibe between rooms. Since 2012 it’s been a reliable big‑night staple for travelers and locals, with VIP tables lining the main room and guest DJs on marquee dates. Dress codes apply at peak times; expect bottle‑service energy.",https://www.levelsclub.com/
Sugar Club Bangkok,"Sukhumvit 11’s hip‑hop anchor, running nightly DJs and MCs with booming low‑end and dancers on stage. International guests rotate through, but resident selectors keep the room moving with rap, R&B and Afrobeats edits. The space centers on a lively dance floor backed by slick production and late hours.",https://www.sugarclub-bangkok.com/
"Climax Nightclub (Soi 11, Ambassador Hotel)","Reopened late‑night club under the Ambassador Hotel with a mixed format of live bands early and DJs after midnight. Socials and listings in 2025 show extended hours and themed parties drawing a diverse, high‑energy crowd. Entry deals and drink packages vary—arrive late for the peak vibe.",https://www.climaxsukhumvit11.com/
ACES Nightclub,"Bold, high‑energy newcomer on Sukhumvit 11 using immersive lighting, dancers and hip‑hop/EDM programming to fuel a late schedule. The club sits inside the Ambassador Hotel complex and leans into VIP table experiences. Open Wed–Sun with headline nights announced weekly across socials.",https://acesnightclub.com/
MIXX Discotheque Bangkok,"Bangkok’s classic late‑night basement club near Chitlom, long known for after‑hours sets and a cosmopolitan crowd. Two rooms typically split commercial dance and hip‑hop, with big weekends running until very late. Expect old‑school superclub atmosphere with lasers, smoke and packed dance floors.",https://www.tripadvisor.com/Attraction_Review-g293916-d8075892-Reviews-Mixx_Discotheque_Bangkok-Bangkok.html
Candy Club x BOBO (Soi 11),"A glitzy, table‑led nightclub concept on Soi 11 combining commercial dance, hip‑hop and guest performer showcases. Production emphasizes LED staging, dancers and theatrics to keep the main floor buzzing. Reservations are highly recommended for weekend prime time.",https://www.instagram.com/candyclubbangkok/
EQ Late Night Club (Soi 4),"After‑hours favorite by Nana Plaza with a hip‑hop and open‑format soundtrack and a late‑running schedule for night owls. Compact floors, coyote dancers and budget‑friendly drink deals create an old‑school late‑night disco feel. Expect the room to peak well after midnight when other venues empty out.",https://www.facebook.com/eqlatenightclub/
Luna Club Bangkok,"A themed late‑night club concept in the Asok–Nana area with full‑scale lighting, commercial dance and guest MCs. Social channels show frequent concept nights and touring DJ appearances in 2025. Dress to impress; table minimums apply on peak events.",https://www.instagram.com/lunaclub.bkk/
The Club Khaosan,"Khaosan Road’s state‑of‑the‑art dance hub with an LED‑tunnel entrance, a huge floor and a festival‑loud sound system for EDM, house and pop edits. Official channels highlight its 2025 placement in DJ Mag’s global clubs list and a nightly calendar that runs late. Expect queues on weekends and shoulder‑to‑shoulder energy inside.",https://theclubkhaosan.com/
Rocco Club (Khaosan),"Multi‑level Khaosan megavenue known for a high‑octane party formula, bottle parades and sing‑along electronic sets. It anchors one end of Khaosan’s strip and stays busy deep into the night, especially on holidays. Door policy is relaxed but capacity fills—arrive early for a table.",https://bangkoknightlife.com/khaosan-road-nightlife/
The Back (Khaosan),"Dark‑room Khaosan club with a laser‑lit main floor and chest‑thumping electronic soundtrack. The long entry corridor opens into a bassy, low‑light space built for late‑night dancing. It’s the newest of the area’s club trio and draws spillover from the street’s bar circuit.",https://bangkoknightlife.com/khaosan-road-nightlife/
Sing Sing Theater,"Ashley Sutton‑designed boutique club in Thonglor with a neo‑Chinoiserie interior, birdcage balconies and immersive performances around a central stage. Music flips between house, disco, global beats and pop edits depending on the night. Theatrical costuming and dancers make it one of Bangkok’s most distinctive nightlife rooms.",https://www.instagram.com/singsingtheater.bangkok/
BEAM (72 Courtyard),"Underground‑leaning Thonglor club rebuilt in 2025 with upgraded acoustics and a tighter, darker dance floor for techno, house and bass music. Bookings mix respected local crews with international guests and label showcases. It’s a sound‑first experience with minimal frills and maximal groove.",https://bk.asia-city.com/things-to-do/article/back-on-with-beam/
Babyface Superclub,"A big‑room, high‑production Thonglor venue designed for EDM drops, hip‑hop anthems and pop‑driven party sets. A cavernous hall, huge LED visuals and CO₂ effects create a festival feel indoors. Theme nights, special guests and brand takeovers keep the calendar lively.",https://www.facebook.com/babyfacesuperclubbkk/
BARBARBAR (Arena 10),"High‑energy Thonglor club famous for MC‑driven hip‑hop, Thai chart hits and shoulder‑to‑shoulder crowds. Bottle service dominates prime hours as dancers and LED staging keep the show rolling. It’s a staple stop on late‑night Thonglor crawls.",https://www.facebook.com/barbarbarbkk/
Mustache Bangkok,"Bangkok’s friendly house‑and‑techno brand turned full‑scale club, known for label nights, local showcases and international bookings that can stretch to sunrise. The sound is tuned for long, flowing sets and a dance‑focused vibe. Expect reasonable covers and a welcoming, music‑first crowd.",https://www.mustachebangkok.com/
SIWILAI Radical Club,"A late‑night extension of the SIWILAI music world, this Thonglor venue blends fashion‑forward design with a DJ program that spans house, disco and left‑field edits. Socials show 2025 lineups with international guests and local tastemakers. Expect a smart‑casual crowd and limited standing space near the booth.",https://www.instagram.com/siwilairadicalclub/
MU:IN Bangkok (Ekkamai),"A glossy Ekkamai club alternating between EDM, K‑pop remixes and hip‑hop, with heavy lighting rigs and table‑centric floor plans. The dress code skews smart and the bottle menu dominates weekends. It’s part of Ekkamai’s current nightlife cluster near major malls and hotels.",https://nightify.co/venues/mu-in
MIL Social Club (ex‑Milley ISC),"Reboot of the popular Thonglor party spot inside J Avenue, focused on hip‑hop, R&B and pop. Event posts in 2025 confirm regular celebrity nights and brand collabs plus a week‑to‑week resident roster. Expect a polished crowd, photo‑forward staging and VIP seating across the room.",https://www.instagram.com/mil.socialclub/
ECHELON Bangkok,"Slick Thonglor nightclub with LED-laden staging, guest singer showcases and commercial EDM programming. Socials highlight tightly produced theme nights that keep the floor packed. Reservations recommended for tables near the stage and screen.",https://www.instagram.com/echelon.bkk/
Elite Club Thonglor,"Luxe, reservation‑led Thonglor venue focused on table service, dress‑to‑impress crowds and commercial dance sets. The club’s schedule features guest performers and brand‑partnered parties through 2025. Door policies are strict at prime time.",https://www.eliteclubbangkok.com/
Taurus Thonglor 10,"Hip‑hop‑forward Thonglor 10 club with dancers, MCs and a neon‑heavy stage setup. Feeds show constant theme parties and guest nights that keep the calendar busy. Popular with groups doing bottle service and bouncing across the Soi 10 mini‑district.",https://www.facebook.com/TaurusThonglor10/
