name,description_full,source_url
BKK Social Club (Four Seasons Hotel Bangkok),"Destination cocktail bar inspired by the cultural dialogue between Buenos Aires and Bangkok, helmed by award‑winning bartender Philip Bischoff. Expect polished service, cigar terraces, and a menu of signature drinks that reinterpret Latin American classics with Thai produce. The space is lush and glamorous, with verdant courtyards and chandeliers that set a celebratory tone. Recognized on Asia’s 50 Best Bars 2025, it’s a benchmark for hotel bars in the region.",https://www.fourseasons.com/bangkok/dining/lounges/bkk-social-club/
Vesper Cocktail Bar,"Long‑running Convent Road institution known for serious, technique‑driven cocktails delivered without pretension. The European‑leaning room pairs green marble with leather seating and a focused list that evolves through seasonal themes and collaborations. Bar manager Tom Hearn and team prize balance and clarity of flavor while highlighting Thai ingredients. A stalwart on Asia’s 50 Best Bars, earning the 2025 “Legend of the List” distinction.",https://www.vesperbar.co/
Tropic City,"Thailand’s first dedicated tropical cocktail bar, created by Philip Stefanescu and Sebastian de la Cruz on Charoen Krung. Drinks lean into rum, fruit, spice, and playful presentation while staying impeccably precise. Neon‑bright interiors and a high‑energy music program make it equal parts serious bar and late‑night hangout. Frequently ranked among Asia’s best and a fixture of Bangkok’s modern cocktail culture.",https://www.tropiccitybkk.com/
Rabbit Hole,"Discreet Thonglor speakeasy behind a wooden door, unfolding over three floors with a marble‑topped central bar. The menu organizes cocktails by style—from spirit‑forward to refreshing—executed with refined technique and thoughtful glassware. A destination for classicists who appreciate subtle innovation and an intimate, dimly lit setting. Reservations are recommended for peak hours.",https://rabbitholebkk.com/
J.Boroski Bangkok,"Invitation‑style speakeasy by mixologist Joseph Boroski and designer Ashley Sutton, known for bespoke drinks built around guest preferences. There’s no printed menu; bartenders interview you and compose a tailored cocktail in a moody, copper‑and‑leather den. It’s an insider’s spot for one‑off creations and meticulous hospitality. A Bangkok classic for cocktail aficionados.",https://www.facebook.com/jboroskibangkok/
Teens of Thailand,"Pioneer of Soi Nana (Chinatown) nightlife with a clear obsession: gin. The tiny, raw‑edged bar serves classic G&Ts and creative gin‑based signatures that often feature Thai botanicals and house infusions. It helped kick‑start the area’s craft‑drinks wave and still draws a faithful crowd nightly. A must‑visit for lovers of juniper and neighborhood bars with character.",https://www.facebook.com/teensofthailand/
Asia Today,"Sister bar to Teens of Thailand that champions foraged Thai produce—especially wild honey—in sophisticated, story‑driven cocktails. Expect textural ingredients, regional botanicals, and menus that read like mini field guides to Thailand’s terroir. Service is fast‑paced and the room hums with Chinatown energy. An essential stop for adventurous drinkers seeking a sense of place.",https://www.instagram.com/asia_today_bar/
TAX,"Experimental Chinatown bar from the Teens/Asia Today team focusing on tea, shrubs, and house‑made vinegars. Cocktails balance acidity in novel ways—think mango‑gin highballs with passionfruit shrub or rice‑infused whiskey sours with bitter tea. The entrance is understated; inside it’s relaxed, low‑lit, and conversation‑friendly. A sharp introduction to Bangkok’s boundary‑pushing side of mixology.",https://www.instagram.com/tax_bar_bkk/
TEP BAR,"Thai cultural bar in Yaowarat where live traditional music and regional spirits set the mood. Cocktails are built on local bases like Mekhong and Phraya rum, often accented with herbs, rice wine, and fruit that nod to Thailand’s culinary canon. The warm, wood‑clad space and nightly bands make it equal parts performance venue and cocktail lounge. A distinctive, deeply local experience.",https://www.tepmahanakhon.com/
Opium Bar,"Hidden above POTONG in a restored Chinatown shophouse, this speakeasy casts ‘liquid surreality’ across multiple intimate rooms. The menu reframes classics with Chinese‑Thai references—elegant, aromatic, and photographable without being gimmicky. It’s polished yet moody, with reservations for bar seats encouraged. Ideal for a pre‑ or post‑dinner drink around Yaowarat.",https://www.opiumbarbangkok.com/
