name,description
Caturday Cat Café,"A beloved cat café next to BTS Ratchathewi with dozens of friendly resident cats. The vibe is playful and cozy, with photo corners and cat towers everywhere. Guests purchase an entry package that includes time with the cats and a drink or dessert. Staff supervise interactions and maintain strict hygiene for animal welfare. It is popular on weekends, so short queues and timed sessions are common. Families and couples come for cute moments and calm, air‑conditioned downtime. Menu highlights include sweet treats, iced drinks and simple café fare. Shoes are removed and hands sanitized before entering the cat zone. Location is inside Coco Walk alley, a few minutes from BTS Ratchathewi. Expect a cheerful, Instagram‑friendly experience focused on cat time."
Mohu Mohu Cat Café,"A small Japanese‑style rescue cat café near Chong Nonsi and Samyan areas. The concept centers on adopting and caring for rescued cats. Guests book or walk in for quiet sessions with gentle, socialized cats. Rules protect the animals; staff guide handling and resting times. Soft music, low seating and simple décor keep the energy calm. Drinks are straightforward; the focus is cat time rather than elaborate food. Community donations and merch often support ongoing rescue care. It suits visitors who prefer a low‑key environment over crowds. Cleanliness and litter‑box separation are maintained throughout the day. A heartfelt stop for cat lovers who value ethical shelters."
Big Dog Cafe,"Bangkok’s famous big‑breed dog café on Ratchadaphisek, known for huskies, malamutes and other gentle giants. Guests join fixed‑time sessions to meet trained dogs supervised by handlers. Brief orientation explains do’s and don’ts before contact begins. Photos are welcome, and staff help line up adorable shots. Entry tickets typically include a drink; snacks are available. The venue prioritizes dog rest cycles and rotation for welfare. Families and friend groups book ahead, especially on weekends. Air‑conditioning and indoor seating make visits comfortable year‑round. Located a short ride from Huai Khwang and Ladprao areas. Ideal for dog lovers seeking a safe, memorable interaction session."
Dog Country Cafe,"A large dog café and pet space on Phutthamonthon Sai 2 catering to all sizes and many breeds. Handlers supervise meet‑and‑greet sessions and guide proper interaction. Timed entry keeps groups manageable and reduces stress on dogs. The café serves simple drinks and snacks alongside the pet activities. Special events and pop‑ups often feature the café’s dogs off‑site. Hygiene protocols and cleaning are visible between waves of guests. Families with kids are welcomed with clear rules and gentle dogs. Expect energetic, playful moments and lots of photo opportunities. Pre‑booking is recommended during holidays and weekends. Come for the cheerful atmosphere and well‑run dog sessions."
Double Dogs Tea Room,"A Chinatown tea institution on Yaowarat specializing in Chinese and Taiwanese teas. The small room hosts calm, serious tea sessions with gongfu‑style brewing. Owners guide guests through oolongs, pu‑er and seasonal limited teas. Tasting flights reveal differences in aroma, body and aftertaste. Minimalist décor and subdued lighting keep attention on the tea. Light snacks pair with the brews without overwhelming flavors. Walk‑ins are possible, but the space fills quickly at peak hours. The venue suits tea lovers who enjoy slow, attentive service. Knowledgeable staff explain origins, harvests and proper steeping. A quiet counterpoint to the bustle of Yaowarat’s street life."
Peace Oriental Teahouse (Sukhumvit 49),"A modern Japanese tea house known for ceremonial‑grade matcha and roasted teas. The counter showcases whisked matcha, usucha and koicha styles. Seasonal gyokuro, genmaicha and premium hojicha round out the menu. Desserts like matcha soft serve complement the tea purity. Minimalist, wood‑and‑stone interiors create a meditative mood. Tea masters prepare bowls precisely and guide flavor notes. Guests can compare ceremonial grades to understand texture and umami. The brand emphasizes provenance and careful sourcing. This Sukhumvit 49 branch is a favorite for quiet afternoon breaks. A refined stop for anyone building a serious matcha palate."
Peace Oriental Teahouse (Velaa Langsuan),"Flagship‑style branch in Langsuan offering the brand’s full ceremonial matcha experience. Design feels serene and contemporary, with pale wood and soft light. Matcha flights allow side‑by‑side tasting of different grades. Roasted tea options highlight nutty, caramelized aromatics. Whisking is done to order, with attention to froth and texture. Staff explain water temperature and whisk technique on request. Light Japanese desserts pair cleanly with the teas. Comfortable seating suits calm conversations and solo tastings. Close to Lumphini and Chit Lom areas for easy access. Ideal for travelers seeking best‑in‑class matcha in Bangkok."
Tealily Matcha House (Ekkamai),"A beloved Japanese matcha café tucked in Ekkamai’s backstreets. Ceremonial matcha, warabi mochi and simple Japanese sweets lead the menu. Small wooden counter and handcrafted ceramics set the tone. Brewing and whisking are precise, gentle and personal. Limited seats keep the atmosphere relaxed and unhurried. Light, not overly sweet desserts respect the tea’s balance. Guests often pair a hot bowl with a refreshing iced matcha. The team takes care to explain grades and flavor differences. It feels like a tiny Tokyo tea stop transplanted to Bangkok. Come early for quiet moments and attentive service."
Hario Cafe (Thonglor),"Showcase café from the Japanese brewing brand, popular with coffee enthusiasts. Baristas brew pour‑overs with V60 and siphon using single‑origin beans. Workshops and retail shelves highlight kettles, scales and drippers. Minimalist Japanese design keeps focus on technique and clarity. Menu balances filter coffee, espresso and light sweets. Guests can compare grind sizes and extraction styles by cup. Great for gear‑curious home brewers upgrading their setup. Staff discuss water temperature, flow control and recipe ratios. Located in the Thonglor/Sukhumvit corridor for easy café hopping. A hands‑on stop to deepen coffee skills with precise tools."
% Arabica (ICONSIAM),"Bangkok branch of the Kyoto‑born brand with iconic % signage and clean lines. Single‑origin espresso and signature Spanish latte draw steady queues. Baristas dial in shots with consistent, balanced profiles. The counter design emphasizes transparency and speed. Beans rotate seasonally with clear tasting notes. Large windows and river views create a sleek pause point. Menu is focused and minimalist, ideal for quick excellence. Fans appreciate the global consistency across branches. ICONSIAM location pairs a coffee stop with mall exploration. A reliable boutique option for precise espresso drinks."
