"Name","Description"
"BKK Social Club","A riverside cocktail institution at Four Seasons Bangkok that blends lush courtyard vibes with polished hotel-bar service. The program celebrates Latin American influences through Thai produce, emphasizing clear textures, disciplined dilution, and elegant glassware. Seating flows from a dramatic back bar to garden patios and a cigar terrace, so you can modulate energy through the night. Signature experiences include refined spirit flights, seasonal limited runs, and attentive table-side hospitality. It’s ideal for dressy dates or client nights; reservations are sensible for prime hours."
"Bar Us","An all-black, laboratory‑sleek “drinking room” where the bar team treats fermentation, carbonation, and distillation as daily craft. Cocktails are assembled with mise‑en‑place precision, presented clean and aromatic rather than gimmicky. The lighting and soundtrack are tuned for focus, so conversation with bartenders becomes part of the experience. Expect menus that rotate in conceptual “blocks,” encouraging side‑by‑side comparisons. Book peak slots; this is a destination for enthusiasts and industry folks alike."
"Dry Wave Cocktail Studio","A kinetic Thonglor counter designed around “waves” of service that move guests through contrast and tempo. Drinks lean modernist—clarified, carbonated, perfumed—yet remain grounded in balance and drinkability. The room is minimalist and cinematic, making the technique easy to watch from almost any seat. Collaborations and guest shifts keep the program feeling like a rolling residency. It’s buzzy and immersive; reservations recommended for weekends."
"Messenger Service","A concept bar reborn inside a restored Chinatown shophouse, furnished like a minimalist grocer‑meets‑home bar. The interior layers pale woods, built‑in shelving, and soft light for a calm, gallery‑like vibe. Drinks are grouped by playful “aisles,” translating familiar ingredients into quietly technical builds. It attracts an art‑minded crowd drifting between Song Wat and Charoen Krung galleries. Evenings fill fast; smart‑casual dress fits the room."
"Page Seven","A mischievous cocktail alcove hidden inside APT 101, staging story‑driven drinks with theatrical reveals. Design treats the room like a set: moody lighting, reflective surfaces, and photo‑ready props. The menu riffs on pop‑culture icons but lands with tight balance and crisp ice work. It’s a high‑energy pre‑dance stop or a cheeky late‑night date option. Book ahead on weekends; pricing follows upscale club norms."
"Tropic City","A neon‑lush tropical bar that anchors the Creative District’s nightlife with a serious, technique‑forward approach to fun drinks. House infusions and reductions power a menu that keeps sugar in check and aromatics lifted. The bar island functions like a stage, so you’re never far from the action. It’s friendly, photogenic, and open late without losing craft. Arrive early on weekends to avoid a queue."
"Vesper","A timeless cocktail room of marble and warm wood where the bartenders treat classics as living blueprints. The current list toggles between historical templates and modern interpretations, with fine control of dilution and temperature. Art on the walls and tight lighting make the room feel urbane without stiffness. It’s equally good for dates or post‑dinner conversations. Reserve for peak hours; bar seats are coveted."
"Opium Bar","A moody speakeasy perched above Yaowarat in a century‑old shophouse, dressed in apothecary drawers and low, cinematic light. The “liquid surreality” menu reads like a guided trip through textures and aromatics served in crafted glassware. Sound is hushed enough for conversation yet present enough to frame the night. It pairs naturally with a dinner downstairs in Chinatown. Book weekends; pricing is premium and the room intimate."
"Find The Locker Room","A classic Bangkok hideaway entered through a wall of steel lockers into a low‑lit cocktail theater. The menu’s “Past, Present, Future” structure reframes icons across eras, so you can taste evolution in a single sitting. Bartenders encourage off‑menu riffs if you share your flavor compass. Seating is intimate and conversation‑friendly. It’s a thinking person’s speakeasy with a playful streak."
"Lennon's","A high‑floor vinyl lounge with thousands of records, studio‑grade sound, and sweeping city views. Drinks focus on well‑tempered classics and music‑themed signatures poured with hotel‑level polish. Requesting a record becomes part of the ritual and sets the pace of the evening. Window seats glow at sunset; later sets drift into slower grooves. Smart dress and reservations make sense on weekends."
