"Name","Description"
"Sushi Masato","Bangkok’s cult omakase by Chef Masato Shimizu blends Tokyo discipline with New York showmanship at a 10-seat counter. The progression leans Edomae—aging, marinating, and temperature control dialed to the grain of the shari. Service is choreographed but friendly; nigiri feels like a conversation rather than a ceremony. The raw fish is Toyosu-driven and seasonally obsessive. Book far ahead and request counter seats for the full arc."
"Sushi Ichizu","A purist’s Edomae experience in a quietly luxurious room—pale hinoki, soft light, and the calm of a true itamae. Nigiri is about balance and breath: rice warmth, wasabi lift, and neta texture calibrated in the second. Expect aging, vinegar profiles, and shellfish seasons that reward repeat visits. Seating is tight, pacing unhurried, and conversation minimal by design. It’s a study in restraint and depth."
"Umi","A longtime omakase favorite where the counter runs like a metronome—clean cuts, perfect rice, and confident, unfussy seasoning. The room is contemporary and soothing, pairing pale woods with subtle stone details. Expect seasonal flights, from Hokkaido uni to hikari-mono aged just right. Ask for the chef’s seasonal extra bites if you like off-script moments. Ideal for those who prefer precision over performance."
"Fillets","Chef Randy Noprapa fuses kappo sensibility with a premium sushi program in a chic, art-led room. The menu roams—impeccable nigiri, refined small plates, and charcoal-kissed skewers from a hidden yakitori grill. Service is polished yet warm, and the wine/sake list is curated for food nerds and date nights alike. Grab the counter if you want to watch the knife work up close. It’s a modern Japanese salon without stiffness."
"Kitaohji Ginza","A kaiseki house transplanted from Ginza, all about seasonality, ceramics, and pacing across multiple courses. Private rooms and tatami-style details turn dinner into a hushed ritual. Broths are crystalline; tempura is sheer and audible; sashimi arrives like a still life. You’re here for harmony rather than fireworks. Reserve a multi-course set and let the staff steer."
"Yamazato","Bangkok’s classic for formal kaiseki, tempura, and sushi, staged in a serene, timber-lined dining room with teppan alcoves. The menu respects the calendar—spring mountain vegetables, summer eel, autumn matsutake, winter crab. Attentive service explains structure and pairings without overtalking. Lunch bento is excellent value; dinner kaiseki is meditative. Dress smart and ask about seasonal sake."
"Kinu by Takagi","A 10-seat kaiseki by Chef Takagi, distilled into an intimate, time-stopping sequence. The counter is almost silent—knife, charcoal, and lacquerware do the talking. Broths are hauntingly clear, textures layered in gentle steps, plating jewel-like. It’s a connoisseur’s room—book early and arrive ready to slow down. Ideal for anniversaries or culinary pilgrimages."
"Shirokane Tori-Tama","Tokyo’s cult yakitori brand brings beak-to-tail chicken to a lively U-shaped counter. Charcoal kisses and tare shine across precise skewers—tsukune, seseri, kawa—served with crisp beer or highballs. Sit at the grill to hear the sizzle and watch the tare set to a lacquer. Staff guide cuts and pacing, so surrender the ordering. It’s craftsmanship with izakaya soul."
"JUA","A design-forward yakitori and sake den in a converted shophouse, with contemporary art and an upbeat soundtrack. Skewers share the stage with clever small plates, yuzu-bright cocktails, and a sake list that rewards exploration. The counter is energetic; the mezzanine turns into a date-night hide. It’s artsy without being precious. Start with chicken oyster and a citrus highball."
"Teppen","A robatayaki theatre where chefs fan the flames and call orders like a dojo—loud, warm, and skilled. Seafood and wagyu land blazing hot on cedar planks or toasty iron. Sit counter-side to feel the heat and trade toasts with the crew. It’s joyful dining for small groups who like energy with their smoke. Book weekends and dress light—you’ll leave perfumed by charcoal."
"Nobu Bangkok","A two-level, skyline-view temple to Nobu’s Japanese-Peruvian signatures and polished service. Yellowtail jalapeño and black cod are here, but the Bangkok team adds Thai-accented specials and a deep sake list. The room is sleek—dark timber, sculptural lighting, and terrace views. It’s celebration DNA: dress up, book a window table, and linger over the final course. Late evenings hum with a stylish crowd."
"Tenko Omakase","A cedar-fragrant, 10-seat counter delivering premium omakase with friendly cadence. Expect Toyosu flights, seasonal neta, and a few warm dishes that break the tempo for comfort. The chef talks when it adds value, not because he must. Service is welcoming for first-timers and purists alike. Pair a mid-range sake if you want balance without distraction."
"Joushitsu Sushi","An under-the-radar sushi room for people who like textbook-clean technique. The shari is measured and slightly warm; neta is brushed and seasoned exactly. The mood is polite, seats limited, and the arc paced so your palate never fatigues. It’s not a light show; it’s a scalpel. Book counter; take the full course."
"Sushi Niwa","A boutique omakase with lacquered calm and a chef who likes to explain sourcing and prep. The nigiri is classic, but the menu allows warm interludes—chawanmushi, grilled nodoguro—that reset your senses. It’s polished yet human, ideal for omakase newcomers. Ask for seasonal crab or uni supplements. Service is attentive and kind."
"Honmono Sushi","A Bangkok institution for à la carte sushi and sashimi with upscale polish and steady sourcing. The selection is wide—otoro to ankimo—yet handled with discipline rather than excess. Families feel comfortable at tables, while solo diners aim for the counter. Lunch sets are strong value. It’s reliability with pedigree."
"Isao","Fusion-friendly sushi that still respects texture and temperature—fun, colorful, and surprisingly exact. The narrow room buzzes; rolls arrive photogenic but balanced. Sashimi quality is steady, and staff keep the pace brisk without rushing. Come early or expect a queue. A crowd-pleasing pit stop on a Sukhumvit crawl."
"Jidori-ya Kenzo","A neighborhood yakitori haunt built around chicken mastery and cold beer. The grill smoke perfumes the small room; skewers land in tight succession. Salads and small plates break the richness; rice dishes close the loop. Staff are quick and cheerful; prices friendly. It’s Ari’s after-work happiness machine."
"Mensho Tokyo","A cult ramen import where silky tori paitan and precise chashu meet a room that feels more gallery than canteen. Noodles are tuned to broth—supple, springy, and aromatic. Bowls are architectural: clean lines, clear aromatics, restrained toppings. Expect a queue at lunch; turnover is fast. Great for a focused, transportive meal."
"Kaneko Hannosuke","Tempura tendon from Tokyo, executed with a shockingly light batter and a tare that glazes rather than drowns. Sit at the counter to watch shrimp, anago, and vegetables rise from the oil with a whisper-crunch. Bowls are generous but composed; rice stays fluffy under sauce. The room is bright and functional—everything supports the fry. It’s tendon as craft, not bulk."
"Tempura Yamaya","A specialist focused on the physics of batter and oil—feather-light, dry, and immediately served. Seasonal vegetables and seafood rotate; a sprinkle of salt can be all you need. Counter seating brings you into the rhythm—fry, drain, serve, repeat. Pair with a crisp beer or chilled sake. The pace is soothing once you lock in."
"Unagi Yondaime Kikukawa","A lacquered, warm-wood enclave dedicated to eel grilled over binchotan and brushed with a nuanced tare. Fillets arrive glistening, smoky, and supple over rice in smartly portioned sets. The kitchen’s patience shows—steaming, grilling, saucing are all measured. Ask about hitsumabushi for a three-way tasting ritual. It’s unagi with reverence."
"Tonkatsu Aoki","A katsu house that obsesses over crumb grain, pork marbling, and frying temperature. Cutlets shatter audibly; interiors stay juicy and sweet. Cabbage, rice, and miso come in proper balance; sauces don’t run the show. The room is pale wood and calm, built for steady lunches. A master class in simple things done right."
"Gen Japanese","An intimate counter where kappo technique yields comforting, elegant plates—broths, grilled fish, and seasonal vegetables done with quiet precision. The chef presents ingredients like small lessons. The room is minimal and soft—just enough design to frame the food. Sake pairings lean delicate and clean. Come for a gentle evening that still surprises."
"Den Kushi Flori","Skewers and small plates with a modern flourish in a chic, light-filled room. It’s kushiyaki beyond the usual—vegetable skewers treated with the same respect as meats. Sauces and seasonings are bright, never cloying. The vibe suits stylish groups who share and sip. Reserve for weekends."
"Ki Izakaya","A polished hotel izakaya where charcoal, sashimi, and highballs make an easy, upscale hang. The design layers warm woods with graphic tile and private nooks. Menus encourage grazing: kushiyaki, karaage, tempura, rice bowls. Cocktails tilt Japanese—yuzu, shiso, umeshu. Great for pre- or post-dinner socializing."
"YTSB – Yellow Tail Sushi Bar","A boutique sushi room with a chef who enjoys explaining provenance and prep in plain language. Cuts are clean; seasoning respectful; pacing interactive. The space is dark and intimate, so the fish and ceramics pop. Omakase is the move, but à la carte works for lighter nights. It’s friendly fine."
"Zuma Bangkok","A global izakaya heavyweight that still delivers: robata seafood, crisp tempura, and signature cocktails in a sexy, low-lit room. Shared plates keep the table lively, and the DJ-leaning soundtrack adds momentum. The sushi program is tight even if you focus on grills. Dress up; book prime time if you want energy. Brunch can be a playful alternative."
