name,description_full
12x12,"A beloved micro‑club hidden in Ekkamai’s backstreets, 12x12 champions selectors over spectacle with an intimate room, warm analog sound and a DIY spirit. Expect deep digs across disco, house, rare groove, left‑field electronica and the occasional live set, with local crews rotating through week to week. Drinks are straightforward, prices fair, and the dance floor feels like a friends‑only house party rather than a big‑room club. The booking ethos favors taste and community, drawing Bangkok’s vinyl heads and underground dancers. Arrive early to claim space—capacity is small by design, and that’s the magic: every night is face‑to‑face. It’s the spot people name when they want ‘not EDM’, just quality music played properly."
Studio Lam,"Studio Lam on Sukhumvit 51 is the city’s temple to molam, Isaan funk and global grooves, founded by the ZudRangMa crew of record obsessives. The sound is purpose‑built for vinyl and live acts, with DJs and bands moving from Thai roots to Afrobeat, soul, boogie and cosmic disco. Signature ya dong infusions and a short, punchy cocktail list fuel a dance floor that feels equal parts listening session and block party. Programming is curator‑led, so even unfamiliar names come with trust—this is a bar where discovery is the point. Crowds are mixed—artists, crate diggers, travelers—drawn by the reputation for adventurous music done right. If you want Bangkok nightlife with cultural backbone and audiophile care, this is it."
Bar Marco,"A cozy Thonglor townhouse transformed into a listening bar, Bar Marco surrounds guests with shelves of vinyl and a compact DJ booth. Selectors spin soul, jazz, Balearic, Italo and modern funk, keeping tempos danceable without going big‑room or commercial. Cocktails lean classic with thoughtful twists; the bartenders know how to pour something that fits the record. Lighting is low, seating intimate, and conversations thread naturally between tracks rather than over them. It’s equally suited to a date or a deep music night, and regulars appreciate the respectful volume and high‑fidelity feel. Come for the mixtape‑like curation; stay because the room makes every record sound personal."
The Label Club,"Tucked off Silom, The Label Club is a modern record‑centric bar where DJs rotate on a compact system built for clarity over sheer volume. Programming leans contemporary—neo‑soul, broken beat, deep house, nu‑disco—with the occasional retro set that shows off the room’s warmth. Design language is clean and minimal: concrete, wood, soft lamps and an audiophile focal point where crate‑fresh sleeves stack up. The bar pours refined highballs and signature cocktails alongside a tight selection of craft beers. It’s the sort of space where you catch a resident on a Thursday and end up rearranging your Friday to return. Expect an attentive, music‑first crowd and the rare ability to actually hear the mixdowns."
Modern‑Day Culture,"Modern‑Day Culture is an Ekkamai listening den where the priorities are simple: great records, great sound, and drinks that don’t distract. Shelves of vinyl and a tidy rotary mixer frame a booth that favors selectors who know how to build long arcs. The nightly palette stretches from mellow jazz‑funk and Japanese city pop early to house and disco edits as the room fills. Seats face the system rather than the bar, underlining that this is a space for intentional listening. Service is unobtrusive and friendly, and the staff can often tell you what’s spinning if you ask. When you want an audiophile vibe without formality, this is a reliable sanctuary."
Freaking Out The Neighborhood,"A compact listening bar off Sukhumvit 36, Freaking Out The Neighborhood pairs a vintage JBL rig with selectors who prize mood over hype. Expect soulful jazz, left‑field pop, Balearic experiments and low‑slung disco, the kind of eclectic sets that make Shazam work overtime. Cocktails are classic with a few playful signatures, and the small room encourages conversation between crate diggers. The team comes from Bangkok’s indie and promoter circles, so weekends often double as miniature scene reunions. Volume is set for clarity; dancing happens naturally without drowning out the detail. If your perfect night is a perfect record side played end‑to‑end, this bar understands you."
Long Play Music & Bar (Josh Hotel),"Inside Ari’s Josh Hotel, Long Play Music & Bar leans into analog nostalgia with a record‑lined wall and a sound system tuned for vinyl. Sets drift from 60s soul and surf to jazz, boogie and sun‑kissed soft rock, matching the neighborhood’s easygoing rhythm. Hotel guests mix with locals, creating a laid‑back social circle where the music sets the tone rather than steals the show. Drinks are balanced, with highballs and spritzes fronting a list that favors refreshment over theatrics. The room is photogenic without being precious; you’re encouraged to settle in and let the evening spool. It’s a low‑pressure gateway to Bangkok’s listening‑bar culture, ideal for early evenings that stretch late."
Vinyl & Wine BKK (EM District),"Part cellar, part record lounge, Vinyl & Wine BKK serves pairings of LPs and labels in the EM District. The concept is literal: browse a curated rack of jazz, soul and classic pop while sipping by‑the‑glass picks and easy mixed drinks. The sound remains conversation‑friendly but detailed enough to appreciate the pressings they spotlight. Staff are happy to recommend a bottle to match what’s on the platter, turning listening into a tasting. It’s more lounge than club, welcoming to newcomers who want the vinyl vibe without a packed dance floor. On mellow nights, it feels like a friend’s stylish living room with a very good stereo."
Yayyyyy Record Bar,"Yayyyyy Record Bar is a tiny shrine to wax culture, run by people who clearly live for the hunt. Selectors flip through funk and fusion, Japanese jazz, psych and soulful house, with frequent nights dedicated to one label or scene. A pared‑back menu of highballs and sours keeps attention on the stylus as it rides the groove. The warm, wood‑heavy build and lamplight make late hours glide, inviting geeky record chatter between tracks. Crowd energy is friendly and knowledgeable without any gatekeeping. If crate‑digging is your love language, this is a perfect date spot."
CCC Listening Bar,"CCC Listening Bar builds the night around its hi‑fi rack: turntables, a rotary mixer and speakers that favor tone and texture. Music drifts across jazz‑funk, soul, ambient and downtempo early, rising to disco and deep house as glasses empty. The bartenders keep pours crisp and unfussy, and the lighting keeps faces soft and the records center stage. It’s the kind of room where the last track can be a surprise B‑side that sends everyone home smiling. Table chatter is present but never drowns the sound, and staff gently keep the room in ‘listening’ mode. Audiophile without the attitude—exactly what the neighborhood needed."
SIWILAI Sound Club,"SIWILAI Sound Club treats music like a craft in its own right, with a minimalist room where the sound system is the star. Expect carefully programmed nights spanning soulful jazz, city pop, boogie and Balearic curves, often on wax. Cocktails are quietly excellent, echoing the venue’s Japanese listening‑bar inspiration—precise, restrained, elegant. Seating orients toward the booth, and staff keep volumes at that sweet spot where you can hear the room breathe. Crowds skew music‑savvy but welcoming, and you’ll often see selectors exchanging records at the end of a set. If you want a purist’s approach to listening in Bangkok, start here."
Lennon’s (Rosewood Bangkok),"Perched high above Ploenchit, Lennon’s is Rosewood Bangkok’s showpiece listening lounge with a spectacular 6,000‑record library. The room wraps you in mid‑century glamour—wood paneling, leather, floor‑to‑ceiling shelves—and a system tuned for velvet‑smooth fidelity. Selectors move from cool jazz and bossa nova to soft rock and soulful classics, with occasional themed vinyl nights. Cocktails nod to musical icons, and service aligns with luxury‑hotel polish without stiff formality. It’s equally compelling as a destination date or an audiophile pilgrimage. Think ‘classic album night’ with a skyline view and immaculate sound."
Alonetogether,"Named after a Chet Baker standard, Alonetogether splits the difference between live jazz bar and vinyl‑centric listening room. The main floor hosts bands several nights a week; upstairs, an intimate audiophile nook doubles as a cigar‑friendly record lounge. Cocktails are classic and confidently executed, matching the venue’s old‑school elegance. Programming favors small ensembles and seasoned players, the kind who make standards feel new again. Volume control is excellent, keeping conversation possible even as solos soar. It’s a refined hideaway for people who care about both musicianship and sound."
Culture Cafe,"Culture Cafe is a selector‑led hangout where Bangkok’s vinyl community tests new finds on a welcoming crowd. Evenings often start with jazz, world and left‑field soul before settling into disco and house that invite a gentle sway. The drinks list is compact but dialed‑in; think highballs, classic sours and a few seasonal signatures. You’ll hear conversations about pressings and reissues as often as weekend plans. The room isn’t large, but that intimacy keeps focus on the music rather than the scene. Come curious, leave with three new artists to dig into."
Entertainment Project,"On Charoenkrung, Entertainment Project doubles as a gallery‑like bar and audiophile room for deep listening. It favors adventurous selectors who connect jazz, dub, ambient, minimal synth and gently grooving house. Lighting and acoustics are tuned for detail, so textures and space in the mix really register. Drinks are minimalist—clean highballs, stirred classics—so nothing competes with the main act: the sound. Crowds are respectful and curious, and sets feel like guided expeditions rather than quick mixes. If your playlists are dotted with reissue labels, you’ll feel among friends."
Smalls,"Suan Phlu’s Smalls stacks three floors of neighborhood charm, mixing jazz‑leaning live sessions with DJ sets that drift into soul and house. Art on the walls, low light and a friendly staff cultivate a ‘local’s living room’ atmosphere. Cocktails are excellent—classic‑forward with a few off‑menu favorites if you ask. Nights build slowly, often peaking into an unplanned dance hour under the mezzanine. The programming balance is the draw: serious music without taking itself too seriously. It’s a late‑night anchor for people who want vibe over velvet rope."
