"Name","Description"
"Rough & Round","A minimalist, architect-led coffee sanctuary in Yaowarat, Rough & Round spotlights premium single-origin brews in a serene, wood-and-linen space. The program is curated with rotating filters and elegant ceramics, emphasizing precision extraction and quiet ritual. It’s a design-lover’s hideaway for slow mornings and serious coffee talk; come early and expect a calm, contemplative vibe."
"Sauce Coffee at Friend Friend","Tucked into Emporium’s creative ‘Friend Friend’ hub in Sukhumvit 24, Sauce Coffee pairs carefully sourced beans with a design playground of art installations and crafted tableware. The bar toggles between signature espresso drinks and clean filter profiles, served in a bright, gallery-like setting. Ideal for a style-savvy crowd after caffeine and inspiration; weekday afternoons are relaxed."
"Two Hands Coffee","A compact specialty bar in Silom, Two Hands focuses on meticulous espresso dialing and clean, fruit-forward pour-overs. The pared-back interior—concrete, pale wood, precise lighting—puts the drinks and barista craft at center stage. Come for focused cups and a calm, refined atmosphere that suits solo work or intimate catch-ups."
"Lie Awake","A neighborhood café with meditative energy, Lie Awake blends soft natural light, plants, and warm timber to frame thoughtful brews. Seasonal beans rotate through filter menus alongside light bakes, served with minimalist ceremony. It’s a gentle, design-first refuge—bring a book, take your time, and linger."
"My Paws Backyard","Part eco-café, part community garden, My Paws Backyard pours specialty coffee in a sun-splashed, pet-friendly compound. Solar panels, no-plastic practices, and open airflow set a breezy tone for wholesome drinks and bakes. Weekend mornings are lively with families and dog owners; weekdays are ideal for quiet work sessions."
"VIVIN Suk 22","Bangkok’s artisan cheese pioneers open a grocer-café on Sukhumvit 22, showcasing Thai charcuterie, local cheeses, and craft pantry goods. The deli-style counter anchors a chic, market-inspired room with marble, glass, and warm wood. Drop in for boards, tartines, and thoughtful wine by the glass; it’s a tasteful stop for edible souvenirs and daytime grazing."
"Aimée Petit Bistro","A petite French bistro in Novotel Future Park Rangsit, Aimée brings a softly lit, Montmartre mood to Bangkok’s north. The kitchen focuses on comforting Gallic classics with careful plating, poured in a snug room of low ceilings, brass, and banquettes. Date-friendly and intimate; book evenings for a quiet escape from the city center."
"The Greenhouse","The Landmark’s ground-floor reboot debuts The Greenhouse, a 24-hour Cantonese-Thai comfort kitchen led by veteran Hong Kong chef Mak Kin Fai. Expect silky congee with abalone, wok-tossed noodles, and roast meats in a refreshed, deep-green dining hall. It’s polished but approachable—great for late-night suppers or family lunches."
"Pastaio","Pastaio delivers fresh-made pasta and neighborhood-pizzeria energy inside The Quad’s stylish hall. An open kitchen and brick-oven glow set the scene for classics and playful specials, from radiatori ‘khao soi’ to crisp pies. Easygoing, affordable, and buzzy—ideal for casual groups before a night out."
"Cupping Coffee & Baker","A design-bright café inside The Quad, Cupping Coffee balances precision espresso with pastries like shokupan French toast. The counter’s clean lines and glass cases telegraph a lab-like attention to detail. Swing by for a mid-shop pick-me-up; mornings are mellow, afternoons hum."
