name,description_full,source_url
Rajadamnern Singha Muaythai Academy (RSM),"RSM is the official training academy affiliated with Rajadamnern Stadium, offering Muay Thai classes from beginner to advanced with drop‑in options and monthly passes. Located near the historic stadium, it focuses on authentic pad work, bag drills, and clinching under experienced Thai trainers. The academy provides structured sessions in small groups, with private lessons available for more intensive coaching. Its schedules and pricing are published publicly and updated for visitors, making it one of the most accessible stadium‑linked gyms in Bangkok. Recent listings confirm regular opening hours through 2025, and the academy caters to international students with English‑speaking staff. Bookings can be made online via partners as well as on site.",https://www.muaythaimap.com/gyms/rsm-rajadamnern
Khongsittha Muay Thai,"Khongsittha is a long‑running Ladprao‑based camp known for welcoming travelers and residents to structured Muay Thai programs. Its official site lists group sessions, private training, and longer training packages with accommodation for intensive camps. Coaches emphasize fundamentals, fitness, and technical sparring, and the gym provides clear schedules and pricing for newcomers. Classes accommodate all levels and are conducted in English and Thai for international trainees. The camp has maintained continuous operations post‑2022 and actively updates program details for 2024–2025. It’s a reliable option for those seeking a community‑oriented training environment within Bangkok.",https://www.khongsittha.com/
FA Group Muay Thai Gym,"FA Group is a renowned Bangkok gym famous for its clinch‑heavy style and for producing top stadium fighters. Time Out Bangkok highlights the gym’s strong reputation and approachable training for visitors seeking authentic Muay Thai. The gym runs multiple daily sessions that include runs, pad rounds, clinching practice, and bag work with attentive coaching. Its location near Chatuchak makes it convenient to reach, and it remains open to drop‑ins and long‑term students alike. FA Group communicates in both Thai and English and has kept regular operations in recent seasons. It is a classic choice for students interested in traditional technique and conditioning.",https://www.timeout.com/bangkok/sport-and-fitness/the-best-muay-thai-gyms-in-bangkok
Petchyindee Academy (Petchyindee Kingdom),"Petchyindee Academy, often referred to as Petchyindee Kingdom, is a storied Bangkok fight camp connected to one of Thailand’s most successful promotional teams. Public listings note its Bangkok headquarters and training options geared to active fighters as well as fitness enthusiasts. The academy’s social channels advertise current class times, fight team updates, and seminar activity, reflecting steady operations in 2024–2025. Training features pad work, bag rounds, technique drilling, and conditioning with experienced kru. Visitors can arrange sessions in advance, and the camp attracts international practitioners due to its high‑level pedigree. Its proximity to major Bangkok corridors makes it a frequent stop for serious students.",https://www.tapology.com/gyms/8657-petchyindee-academy
Sasiprapa Gym,"Sasiprapa is a classic Bangkok gym with decades of history and a focus on producing technical Thai boxers. Its official site presents schedules, training packages, and contact details for visitors seeking authentic camp routines. The program balances traditional roadwork with pad rounds, bag drills, and situational sparring, and private lessons are available. Sasiprapa is known for its welcoming approach to foreign students while maintaining high standards of technique. The gym has remained active after 2022 and publishes current contact channels for booking. It is often recommended for students looking to experience Bangkok’s old‑school Muay Thai culture.",https://www.sasiprapagym.com/
Jaroenthong Muay Thai Gym (multiple branches),"Jaroenthong is one of Bangkok’s largest Muay Thai chains, operating numerous branches around the city, including downtown locations. The official site lists current branches, class times, and contact numbers, with training designed for both fitness and technique. Sessions typically include shadowboxing, pad work, bag rounds, and conditional drills, with private training available. The chain has continued to expand and update offerings into 2025, making it easy to find a gym near most central districts. Facilities are modern, and many branches provide English‑speaking coaches to support international trainees. It is a convenient choice for consistent training no matter where you stay in Bangkok.",https://www.jaroenthongmuaythai.com/
Legend Thai Boxing (multiple branches),"Legend Thai Boxing operates several Bangkok branches that combine Muay Thai instruction with fitness‑focused programs. The brand’s official pages publish branch addresses, schedules, and pricing, making booking straightforward for short‑term visitors. Classes cover fundamentals, pad work, bag training, and conditioning circuits under experienced trainers. Studios are geared to beginners through advanced students, with private lessons and corporate sessions available. The chain actively updates its information for 2024–2025 and is noted for clean, well‑run facilities. It’s a practical option if you want consistent standards across different neighborhoods.",https://www.legendthaiboxing.com/
Bangkok Fight Lab (Sukhumvit 50),"Bangkok Fight Lab is an established combat‑sports academy near BTS On Nut, offering Muay Thai alongside BJJ, wrestling, and MMA. Its official schedule shows daily classes for all levels, with experienced Thai trainers leading pad work and technique drills. The facility includes multiple training zones, showers, and pro‑shop services, and welcomes drop‑ins and memberships. International students appreciate the English‑language instruction and diverse training partners. The academy keeps information current and reachable for trial classes or longer stints of cross‑training. It’s a strong choice if you want Muay Thai plus grappling under one roof.",https://www.bangkokfightlab.com/
Rithirit Gym Academy (formerly Jitti Gym),"Rithirit Gym Academy, the successor to the famed Jitti Gym, continues a decades‑long tradition of authentic Bangkok Muay Thai. Recent profiles confirm the rebrand and ongoing daily classes with drop‑ins available for visiting students. Training blends roadwork, pad rounds, bagwork, and clinching, with private sessions possible for those seeking focused coaching. The gym remains in central Bangkok and communicates updates through its social media channels. English‑speaking staff help international guests navigate schedules, fees, and equipment needs. It is a heritage camp that retains a friendly, old‑school atmosphere with modern accessibility.",https://siamkickfight.com/blogs/ringready/where-to-train-muay-thai-in-bangkok
Muay Thai Academy (MTA) / Rompo,"Muay Thai Academy (MTA), sometimes referenced alongside Rompo, is a Bangkok gym offering group classes and private training for all levels. Listings describe world‑class instruction, with programs tailored to beginners through fighters. Sessions emphasize stance, balance, pad work, bag drills, and conditioning, and the gym accepts walk‑ins. Parents and families use the site’s English‑language info to plan sessions for teens and adults. The gym has maintained activity through 2024–2025 with steady updates via social pages. It serves residents in central Bangkok seeking a friendly, technical environment.",https://www.bkkkids.com/listing/muay-thai-academy-mta/
