id,name,category,description_full,summary,tags_csv,lat,lng,address,price_level,website,phone,picture_url,source,source_url,processing_status,published_at,updated_at,ai_verified,ai_verification_date
1,Rough & Round,Restaurants,"In a city full of coffee spots, some places still manage to stand out – not just for what they serve, but for how they bring people together. An architect and coffee equipment curator has opened a space of their own, a minimalist hideaway designed to foster a sense of community among coffee lovers. The interiors are thoughtfully styled with light wood and soft-toned fabrics from @moonler.furniture, a Thai contemporary brand known for blending craft with calm. The result is a space that feels both refined and welcoming. On the menu, you’ll find single-origin brews from @dakcoffeeroasters, a roastery based in Amsterdam, served in exclusive cups created in collaboration with @mkstudio_cph. Every detail feels intentional and the whole experience is a quiet celebration of design, coffee and connection. Address: 496, 4 Song Wat Rd, Samphanthawong. 080-654-7988. Open Mon & Wed-Sun 8am-5pm. Closed Tue","A minimalist café in Bangkok invites coffee lovers to enjoy single-origin brews served in exclusive cups. Designed to foster community, the space combines light wood and soft fabrics for a welcoming vibe. Relaxation and connection flourish in this thoughtfully curated hideaway.","cafe,chill,community,craft_coffee,minimalist",13.7563,100.5018,"Mock Address, Bangkok, Thailand",2,,,https://media.timeout.com/images/106305314/image.jpg,timeout,https://www.timeout.com/bangkok/restaurants/rough-round,summarized,2025-09-06T03:48:31,2025-09-06T04:28:49,,
2,Kurasu Thonglor (Sukhumvit 57),Restaurants,"More Kyoto than Bangkok, Kurasu Thonglor is a calm refuge from the usual Thonglor buzz. The space is naturally bright and uncluttered, wrapped in soft timber tones and subtle, easygoing vibes. Signature Bangkok Blend, made from Thai-grown beans, is silky smooth with gentle hints of caramel and berry. There’s even a flavour chart to help you match your mood – from citrusy and floral to deeper chocolate notes. If you're feeling adventurous, single-origin filter options rotate regularly, so there’s always something new to indulge. And don’t skip Anko Toast – thick, fluffy bread with butter and sweet red bean paste. Simple, nostalgic and just right with a warm cup. Truly, Kurasu is a quiet favourite for those who appreciate craft over flash. Address: 1109/2 Sukhumvit 57 road, Khlong Tan Nue Sub. 064-941-2639. Open Daily 7am-6pm.","A calm café provides a serene escape from Thonglor's bustle. Enjoy the smooth Bangkok Blend coffee with hints of caramel and berry, alongside nostalgic Anko Toast. The bright, wooden space enhances the cozy atmosphere for craft coffee enthusiasts.","cafe,chill,craft_coffee,family_friendly,cozy,local_favorite",13.7233451,100.5801451,"1109/2 Sukhumvit road Khlong Tan Nue Sub, Districts, เขตวัฒนา กรุงเทพมหานคร 10110, Thailand",,,,https://media.timeout.com/images/106305312/image.jpg,timeout,https://www.timeout.com/bangkok/restaurants/kurasu-thonglor-sukhumvit-57,summarized,2025-09-06T04:00:00,2025-09-06T04:28:49,,
3,Sauce Coffee at Friend Friend,Restaurants,"When you think of a department store like Emporium, you might expect a cookie-cutter cafe or just another polished retail space but this new corner is anything but typical. They’ve transformed the old parking lot into a creative hub where craft, design and community come together. Think of it as a little village of ideas: there’s Sauce Coffee, serving up aromatic brews made with beans from Gem Forest Coffee. Right next to it is Colorama, a cheerful eatery that turns every plate into a rainbow of vegetables, proving that healthy can be both colourful and crave-worthy. You’ll also find a curated selection of tableware, with certain handcrafted pieces made exclusively for this space. And perhaps the most unexpected twist –  the parking ramp has been reimagined as an open art zone, lined with creative installations and cosy corners where you can sit back, relax and take it all in. Address: 3/F, Emporium, 622 Sukhumvit Rd, Khlong Tan, Khlong Toei. 022-691-240. Open Daily 10am-8pm","A cozy café within a creative hub, aromatic brews from Gem Forest Coffee delight visitors. Colorful dishes and unique handcrafted tableware enhance the vibrant atmosphere. Relax in the open art zone filled with inspiring installations and comfy corners.","cafe,creative hub,art zone,family,chill,healthy,craft",13.7297034,100.56808439999999,"622 (3rd Floor, Friend Friend, Emporium, Sukhumvit Rd, Khwaeng Khlong Tan, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand",,,,https://media.timeout.com/images/106305369/image.jpg,timeout,https://www.timeout.com/bangkok/restaurants/sauce-coffee-at-friend-frien,summarized,2025-09-06T04:00:13,2025-09-06T04:28:49,,
4,Rise Coffee at One Bangkok,Restaurants,"The third flagship store from Rise Coffee has officially landed, this time at One Bangkok and it's as sleek as it is satisfying. The space feels both polished and cosy, with a warm mahogany and gold palette divided into three functional zones: an espresso bar, a bakery counter and a slow bar for filter purists. The modular layout uses non-footprint laminate and bold orange marble details to craft everything from menu boards to merch shelves, while Alpi Sottass plywood adds a touch of softness to the cafe's modern angles. If you're into pour-overs, don’t miss Rise exotic filter, featuring Geisha beans from Ching Saetao. The Menu of the Month spotlights black Kyoho, and sweet tooths will want to snag a cup of red velvet stick. Address: One Bangkok. 094-187-4000 Open daily. Mon–Fri 7am–9pm, Sat–Sun 8am–9pm.","A sleek café at One Bangkok features a cozy atmosphere with distinct zones for espresso, bakery items, and filter coffee. Specialty brews include exotic Geisha beans and a delightful black Kyoho treat. Perfect for coffee lovers, the space combines modern design with handmade touches.","cafe,chill,family,espresso,bakery,filter_coffee",13.7267531,100.5456727,"B1 Floor, The Storeys One Bangkok Thanon Witthayu, Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",,,,https://media.timeout.com/images/106305373/image.jpg,timeout,https://www.timeout.com/bangkok/restaurants/rise-coffee-at-one-bangkok,summarized,2025-09-06T04:00:14,2025-09-06T04:28:49,,
5,Morgen Coffee,Restaurants,"Morgen Coffee, tucked away on Soi Phromsri, brings a quiet pause to the otherwise buzzing Sukhumvit scene. The space is compact yet open, with high ceilings and a clean mix of raw concrete, white tile and pale wood that makes it feel airy and intentional. Coffee here leans Brazilian Arabica – smooth, balanced, and brewed with care. The real standout? Morgen classic, a freshly baked financier that’s buttery, soft and just sweet enough to leave a mark. What sets the place apart is how the light moves through it – brushing against textured walls, mixing with the scent of fresh brewed coffee in the air. That’s the kind of calm Morgen delivers, just steps from EmQuartier. Address: 3/5 Soi Phromsri 1, Khlong Tan Nuea. 092-848-7643. Open Daily 7am-5pm.","A serene café on Soi Phromsri, this spot is known for its Brazilian Arabica coffee and a signature buttery financier. The airy atmosphere features high ceilings and a clean design of concrete and wood, creating a calming retreat. Perfect for a quiet break, the light enhances the inviting space while you sip your brew.","café,coffee,Sukhumvit",13.7365664,100.573135,"3, 5 Soi Phromsri1, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",,,,https://media.timeout.com/images/106305322/image.jpg,timeout,https://www.timeout.com/bangkok/restaurants/morgen-coffee,summarized,2025-09-06T04:00:15,2025-09-06T04:28:49,,
6,Fell Boy,Restaurants,"‘Fell Boy’ might make you think of a kid who fell into some weird hole, but here, it’s more like a cosy little hideout that feels calm and comforting. That’s exactly the vibe of this tucked-away cafe just off Rama 2 Road. Honestly, we’re probably all a bit like that ‘fell boy’, sneaking away to find some chill time. Outside, a lush tropical garden bursts with greenery, creating a contrast to the dry concrete jungle beyond. Inside, warm wood tones and mid-century furniture set a soft, inviting mood. Huge windows frame a small garden nook, blurring the line between indoors and out. Coffee-wise, the cafe keeps it local with Thai beans roasted by Midsummer, offering both light and medium roasts. But if you’re not a coffee fan, their ceremonial-grade matcha is a standout, especially yame clear matcha, which has subtle smokey notes that linger perfectly. Address: 100, 16, Rama II Rd, Bang Nam Chuet, Mueang Samut Sakhon. 098-283- 0885. Open Mon 8.30am-4pm, Wed-Fri 8.30am-4pm, Sat-Sun 9.30am-5pm. Closed Tue",A cozy café offers a tranquil escape with lush greenery surrounding the space. Local Thai coffee and unique ceremonial-grade matcha are highlights that cater to various tastes. Warm wood tones and mid-century decor create an inviting atmosphere for relaxation.,"cafe,chill,family,local_coffee,matcha,garden",13.601994399999999,100.3689981,"100, 16 หมู่ที่ 1 Rama II Rd, Tambon Bang Nam Chuet, Amphoe Mueang Samut Sakhon, Chang Wat Samut Sakhon 74000, Thailand",,,,https://media.timeout.com/images/106305304/image.jpg,timeout,https://www.timeout.com/bangkok/restaurants/fell-boy,summarized,2025-09-06T04:14:09,2025-09-06T04:28:49,,
7,Piccolo Vicolo at Wang Burapha,Restaurants,"If you’re exploring the old town, this coffee stop is one of the prettiest perches on the canal. Piccolo Vicolo brings a clean, contemporary pulse to Wang Burapha without losing the old‑town mood. Three adjoining, four‑storey shophouses by Khlong Ong Ang – once a machine storage site – now read as a calm, community‑minded hideout where the original structure meets lush greenery. The layout is smart: a coffee-and-pastry bar with indoor and outdoor seating on the first floor; a library‑like co‑working room on the second floor; an open, plant‑filled terrace with city views on the third; and a surprise on fourth floor – a private‑suite stay called Poco House. The concept leans ‘Discovery & Treasuring,’ preserving original structure while softening it with greenery and quiet corners. The menu suits slow sessions: specialty coffee alongside matcha, sodas and light brunch. Don’t miss the Matcha Coconut or the house Raspberry Soda – both crowd highlights – plus cakes and tarts for the sweet tooth. Expect a friendly price bracket, friendly service and plenty of power plugs for lingering visits. Address: 775 Maha Chai Rd, Wang Burapha Phirom, Phra Nakhon. 02-128-0802. Open Wed-Mon 9am-6pm. Closed Tue","A serene café by the canal in Bangkok's old town offers a fresh take on coffee culture. Specialty brews, light brunch options, and a lush atmosphere create a perfect spot for relaxation. Don't miss the popular Matcha Coconut and house Raspberry Soda.","cafe,chill,community,outdoor seating,specialty coffee,light brunch",13.747211,100.50382859999999,"775 Maha Chai Rd, Khwaeng Wang Burapha Phirom, Khet Phra Nakhon, Krung Thep Maha Nakhon 10200, Thailand",,,,https://media.timeout.com/images/106305311/image.jpg,timeout,https://www.timeout.com/bangkok/restaurants/piccolo-vicolo-at-wang-burapha,summarized,2025-09-06T04:00:17,2025-09-06T04:28:49,,
8,Cuckoo & Friends,Restaurants,"Nestled within a quiet corner of Ekkamai 21, Cuckoo & Friends might just be your new favourite cafeteria. It feels less like a coffee shop and more like stepping into a friend’s retro-styled living room – complete with warm orange lighting, nostalgic decor and a comforting sense of familiarity. The space is designed to feel like home – one corner is filled with mismatched vintage furniture, analogue knick-knacks and a playlist that leans into mellow moods. It’s a cosy spot to sip on a cup of coffee, tuck into a home-cooked dish or simply linger over slow conversations. Address: Ekkamai 21 Alley. 062-832-8249. Open Fri–Wed 8.30am–5pm. Closed Thu.","A cozy café tucked away on Ekkamai 21, it offers a welcoming retro vibe with vintage decor and warm lighting. Home-cooked meals pair beautifully with specialty coffee, making it an ideal spot for relaxed conversations. Mismatched furniture adds to the charm, creating a homely atmosphere to unwind in.","cafe,chill,family,retro decor,home-cooked meals",13.738443199999999,100.58843879999999,"34 ห้อง 15, 16A Thanon Ekkamai, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",,,,https://media.timeout.com/images/106305281/image.jpg,timeout,https://www.timeout.com/bangkok/restaurants/cuckoo-friends,summarized,2025-09-06T04:00:17,2025-09-06T04:28:49,,
9,Coffee Room Yaowarat,Restaurants,"Tucked quietly into a neighbourhood that doesn’t shout for attention, this cafe is the kind you find once and return to without thinking. The space is all soft whites and stillness, interrupted only by the low hum of a roaster near the entrance. Beans are roasted on-site – blends, single origins, whatever the day calls for – and there’s even an open-door policy for those curious about flavour-profiling or looking to roast their own. Despite its specialty leanings, prices lean gentle: an americano starts at B60, and even an Ethiopian pour, bright with berry, stays within reach. Upstairs, the mood shifts into something more expansive – a co-working floor that doubles as a low-key event space. Hidden in one corner is a fabric shop, quiet and unexpected, like a secret stitched into the building. Address: 206 208 Yaowarat Rd, Chakkrawat, Samphanthawong. 062-886-6515. Open daily 7am-6pm","A peaceful café tucked away in a quiet neighborhood offers on-site roasted specialty coffee at approachable prices. The inviting atmosphere is complemented by an upstairs co-working space, perfect for both relaxation and productivity. An unexpected fabric shop adds a unique touch to this charming venue.","cafe,chill,co-working,specialty_coffee,event_space",13.743595599999999,100.505371,"206 208 Yaowarat Rd, Khwaeng Chakkrawat, Khet Samphanthawong, Krung Thep Maha Nakhon 10100, Thailand",,,,https://media.timeout.com/images/106305274/image.jpg,timeout,https://www.timeout.com/bangkok/restaurants/coffee-room-yaowarat,summarized,2025-09-06T04:00:18,2025-09-06T04:28:49,,
10,Leek Coffee,Restaurants,"Set at the end of a quiet soi, Leek Coffee feels more like stepping into someone’s calm weekend morning than a commercial cafe. The kind of place where the clock moves slower and your coffee feels like it was made with actual thought. The space is warm and soft-edged – wooden chairs that don’t look like they came from a catalogue, sunlight filtering through sheer curtains, and a counter stocked with cakes that lean homemade in the best way. The true heart of the space is how naturally it all fits – not minimalist for the sake of it, but perfectly harmonious and just enough. There’s orange coffee that balances bitter and bright, basque cheesecake that doesn’t need to be dressed up, and expect regulars who seem to know exactly what they came for. Address: 301/25 Soi Pridi Banomyong 42, Khlong Tan Nuea. 093-278-0881. Open Mon-Sat 8am-5pm. Closed Sun.","A serene café tucked away on a quiet soi offers thoughtfully crafted coffee and homemade cakes. The warm, inviting space features unique wooden chairs and soft sunlight filtering through sheer curtains. Regulars appreciate the harmonious atmosphere, perfect for unwinding on a leisurely day.","cafe,chill,homemade,coffee,desserts",13.7359286,100.60268200000002,"301/25 Soi Pridi Banomyong 42, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",,,,https://media.timeout.com/images/106305277/image.jpg,timeout,https://www.timeout.com/bangkok/restaurants/leek-coffee,summarized,2025-09-06T04:00:19,2025-09-06T04:28:49,,
